Call Id,Agent,Date,Time,Topic,Answered (Y/N),Resolved,Speed of answer in seconds,AvgTalkDuration,Satisfaction rating,AvgTalkSeconds,Hour
ID0001,Diane,2021-01-01,1900-01-01 09:12:58,Contract related,Y,Y,109.0,1900-01-01 00:02:23,3.0,143.0,9
ID0002,Becky,2021-01-01,1900-01-01 09:12:58,Technical Support,Y,N,70.0,1900-01-01 00:04:02,3.0,242.0,9
ID0003,Stewart,2021-01-01,1900-01-01 09:47:31,Contract related,Y,Y,10.0,1900-01-01 00:02:11,3.0,131.0,9
ID0004,Greg,2021-01-01,1900-01-01 09:47:31,Contract related,Y,Y,53.0,1900-01-01 00:00:37,2.0,37.0,9
ID0005,Becky,2021-01-01,1900-01-01 10:00:29,Payment related,Y,Y,95.0,1900-01-01 00:01:00,3.0,60.0,10
ID0006,Stewart,2021-01-01,1900-01-01 10:00:29,Technical Support,N,N,,,,,10
ID0007,Diane,2021-01-01,1900-01-01 10:22:05,Payment related,Y,Y,24.0,1900-01-01 00:03:40,2.0,220.0,10
ID0008,Diane,2021-01-01,1900-01-01 10:22:05,Payment related,Y,Y,22.0,1900-01-01 00:00:38,4.0,38.0,10
ID0009,Greg,2021-01-01,1900-01-01 11:13:55,Admin Support,Y,Y,15.0,1900-01-01 00:06:38,4.0,398.0,11
ID0010,Jim,2021-01-01,1900-01-01 11:13:55,Streaming,Y,Y,78.0,1900-01-01 00:01:04,3.0,64.0,11
ID0011,Joe,2021-01-01,1900-01-01 11:15:22,Payment related,N,N,,,,,11
ID0012,Greg,2021-01-01,1900-01-01 11:15:22,Payment related,Y,Y,50.0,1900-01-01 00:00:32,4.0,32.0,11
ID0013,Joe,2021-01-01,1900-01-01 11:52:48,Payment related,Y,Y,84.0,1900-01-01 00:03:34,3.0,214.0,11
ID0014,Martha,2021-01-01,1900-01-01 11:52:48,Contract related,Y,Y,89.0,1900-01-01 00:05:44,3.0,344.0,11
ID0015,Becky,2021-01-01,1900-01-01 11:55:41,Admin Support,Y,Y,48.0,1900-01-01 00:03:47,4.0,227.0,11
ID0016,Becky,2021-01-01,1900-01-01 11:55:41,Admin Support,Y,Y,63.0,1900-01-01 00:05:26,2.0,326.0,11
ID0017,Greg,2021-01-01,1900-01-01 11:57:07,Technical Support,Y,Y,45.0,1900-01-01 00:05:32,5.0,332.0,11
ID0018,Becky,2021-01-01,1900-01-01 11:57:07,Admin Support,N,N,,,,,11
ID0019,Jim,2021-01-01,1900-01-01 12:01:26,Streaming,N,N,,,,,12
ID0020,Jim,2021-01-01,1900-01-01 12:01:26,Contract related,Y,Y,101.0,1900-01-01 00:02:27,3.0,147.0,12
ID0021,Jim,2021-01-01,1900-01-01 12:02:53,Technical Support,Y,Y,74.0,1900-01-01 00:05:22,5.0,322.0,12
ID0022,Dan,2021-01-01,1900-01-01 12:02:53,Admin Support,Y,Y,89.0,1900-01-01 00:05:50,5.0,350.0,12
ID0023,Martha,2021-01-01,1900-01-01 12:02:53,Technical Support,N,N,,,,,12
ID0024,Joe,2021-01-01,1900-01-01 12:02:53,Technical Support,Y,Y,68.0,1900-01-01 00:05:25,2.0,325.0,12
ID0025,Diane,2021-01-01,1900-01-01 12:30:14,Streaming,Y,Y,97.0,1900-01-01 00:04:09,3.0,249.0,12
ID0026,Dan,2021-01-01,1900-01-01 12:30:14,Payment related,N,N,,,,,12
ID0027,Joe,2021-01-01,1900-01-01 12:40:19,Streaming,Y,Y,39.0,1900-01-01 00:04:00,3.0,240.0,12
ID0028,Martha,2021-01-01,1900-01-01 12:40:19,Contract related,Y,Y,51.0,1900-01-01 00:02:34,4.0,154.0,12
ID0029,Joe,2021-01-01,1900-01-01 12:40:19,Technical Support,Y,Y,106.0,1900-01-01 00:02:09,4.0,129.0,12
ID0030,Stewart,2021-01-01,1900-01-01 12:40:19,Streaming,Y,Y,107.0,1900-01-01 00:05:55,3.0,355.0,12
ID0031,Joe,2021-01-01,1900-01-01 13:24:58,Admin Support,Y,Y,22.0,1900-01-01 00:05:08,3.0,308.0,13
ID0032,Joe,2021-01-01,1900-01-01 13:24:58,Streaming,Y,Y,122.0,1900-01-01 00:02:08,4.0,128.0,13
ID0033,Diane,2021-01-01,1900-01-01 13:33:36,Technical Support,Y,Y,57.0,1900-01-01 00:06:49,3.0,409.0,13
ID0034,Jim,2021-01-01,1900-01-01 13:33:36,Payment related,Y,N,53.0,1900-01-01 00:01:44,2.0,104.0,13
ID0035,Becky,2021-01-01,1900-01-01 13:42:14,Streaming,Y,Y,119.0,1900-01-01 00:01:31,5.0,91.0,13
ID0036,Diane,2021-01-01,1900-01-01 13:42:14,Streaming,N,N,,,,,13
ID0037,Martha,2021-01-01,1900-01-01 13:42:14,Technical Support,Y,N,20.0,1900-01-01 00:01:12,2.0,72.0,13
ID0038,Joe,2021-01-01,1900-01-01 13:42:14,Technical Support,Y,Y,52.0,1900-01-01 00:00:36,3.0,36.0,13
ID0039,Stewart,2021-01-01,1900-01-01 14:38:24,Contract related,Y,Y,74.0,1900-01-01 00:06:41,1.0,401.0,14
ID0040,Greg,2021-01-01,1900-01-01 14:38:24,Technical Support,Y,Y,49.0,1900-01-01 00:02:29,3.0,149.0,14
ID0041,Jim,2021-01-01,1900-01-01 14:47:02,Technical Support,Y,Y,27.0,1900-01-01 00:02:09,5.0,129.0,14
ID0042,Greg,2021-01-01,1900-01-01 14:47:02,Contract related,Y,Y,100.0,1900-01-01 00:04:54,5.0,294.0,14
ID0043,Diane,2021-01-01,1900-01-01 14:47:02,Technical Support,Y,Y,45.0,1900-01-01 00:06:21,3.0,381.0,14
ID0044,Becky,2021-01-01,1900-01-01 14:47:02,Payment related,Y,Y,98.0,1900-01-01 00:03:14,5.0,194.0,14
ID0045,Diane,2021-01-01,1900-01-01 15:44:38,Admin Support,Y,Y,25.0,1900-01-01 00:05:13,5.0,313.0,15
ID0046,Jim,2021-01-01,1900-01-01 15:44:38,Contract related,N,N,,,,,15
ID0047,Dan,2021-01-01,1900-01-01 17:13:55,Admin Support,Y,Y,107.0,1900-01-01 00:02:22,3.0,142.0,17
ID0048,Martha,2021-01-01,1900-01-01 17:13:55,Contract related,N,N,,,,,17
ID0049,Joe,2021-01-01,1900-01-01 17:25:26,Technical Support,Y,Y,104.0,1900-01-01 00:03:35,5.0,215.0,17
ID0050,Dan,2021-01-01,1900-01-01 17:25:26,Technical Support,N,N,,,,,17
ID0051,Martha,2021-01-01,1900-01-01 17:35:31,Contract related,N,N,,,,,17
ID0052,Jim,2021-01-01,1900-01-01 17:35:31,Admin Support,N,N,,,,,17
